,company,Founded Date,website,Headquarters Location,Industries,Number of Employees,CB Rank (Company),Full Description,Industry Groups,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount Currency (in USD),Last Funding Type,Total Funding Amount Currency (in USD),IPO Status,IPO Date,Valuation at IPO Currency (in USD),IPqwery - Patents Granted,IPqwery - Trademarks Registered,IPqwery - Most Popular Patent Class,age,org_uuid,snapshot_in_window
220,Sundae,2018-08-01,https://sundae.com,"San Francisco, California, United States","E-Commerce, Marketplace, Property Management, Real Estate",101-250,"6,851","Sundae provides a residential real estate marketplace intended started to help sellers get a fair price for their house. It offers an alternative to the unpredictability of the traditional real estate agent sales process. Users can sell as-is on their timeline. That means they do no clean-up, repairs, showings, or any work at all. It is the only marketplace connecting home sellers with a large network of local investors, ensuring that homeowners get the highest possible off-market price for their homes.","Commerce and Shopping, Real Estate",4.0,Late Stage Venture,2021-07-20,80000000.0,Series C,135725000.0,Private,,,0,4.0,,5,875,False
241,CHEQ,2021-01-01,https://cheqplease.com,"Kirkland, Washington, United States","FinTech, Payments, Social, Software",11-50,"6,884","CHEQ is the world's first social payments platform, connecting consumers and businesses to create frictionless, amazing in-person experiences. CHEQ's universal ordering and payment app can be used by restaurants, stadiums, hotels, and more to make transactions fun, easy, and worry- free. Users can even send food and drinks directly to their friends from anywhere in the world. CHEQ lets venues retain their unique branding within the app and keep their direct relationships with their guests.","Community and Lifestyle, Financial Services, Payments, Software",2.0,Seed,2022-09-21,8000000.0,Seed,13470000.0,Private,,,,,,3,876,False
245,Jona,2022-01-01,https://jona.health,"New York, New York, United States","Artificial Intelligence, Health Care, Medical, Wellness",1-10,"6,894","Jona is a technology startup that employs artificial intelligence to uncover the link between the microbiome and health, allowing people to find relief and be proactive in an era of increased chronic illness.","Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software",1.0,Seed,2023-11-01,5000000.0,Seed,5000000.0,Private,,,,,,2,877,False
246,rabbit,2021-01-01,https://rabbit.tech,"Los Angeles, California, United States","Artificial Intelligence, Hardware, Operating Systems",,"6,896","Rabbit is a tech company specializing in creating a customized operating system using a natural language interface. The company's core technologies, Kernel™ and Rabbit OS, significantly enhance the performance of multimedia language model applications, speeding them up by tenfold. They also facilitate real-time, platform-independent operation without the need for application programming interfaces.","Artificial Intelligence, Data and Analytics, Hardware, Platforms, Science and Engineering, Software",4.0,Seed,2023-10-04,20000000.0,Seed,20000000.0,Private,,,4,4.0,Electric Communication Technique,3,878,False
250,Workshop,2021-02-01,https://www.useworkshop.com,"Omaha, Nebraska, United States","Email, Software, Unified Communications",11-50,"6,904",Workshop is a delightful company intranet designed for efficient internal communication,"Information Technology, Internet Services, Messaging and Telecommunications, Software",3.0,,2023-10-30,12000000.0,Venture - Series Unknown,20700000.0,Private,,,,,,3,879,False
251,Dashworks,2020-01-01,http://www.dashworks.ai,"San Francisco, California, United States","Database, Information Technology, Productivity Tools, Software",11-50,"6,906","Dashworks is a knowledge assistant that helps employees find the information they need while also increasing productivity. Dashworks is where all documents, messages, tickets, and other knowledge scattered across a company's apps and people come together seamlessly. Dashworks assists every organization in growing more efficiently and effectively — and in motivating every person to get things done.","Data and Analytics, Information Technology, Software",4.0,Seed,2023-07-11,5000000.0,Seed,9500000.0,Private,,,,,,4,880,False
252,Mountaintop Studios,2020-01-01,https://www.mountaintop.gg/,"San Francisco, California, United States","Gaming, PC Games",11-50,"6,907","Mountaintop Studios is a game studio creating multiplayer games for players who crave a challenge. Mountaintop Studios headquarters is located at 8605 Santa Monica Blvd, West Hollywood, CA, US, 90069.",Gaming,3.0,,2023-09-21,20499979.0,Venture - Series Unknown,55999979.0,Private,,,0,0.0,,4,881,False
260,AppHub,2021-08-01,http://www.apphub.com,"Boston, Massachusetts, United States","E-Commerce, Enterprise Software, Software",11-50,"6,920",AppHub is a growing family of software solutions for e-commerce merchants. Their mission is to help merchants maximize their commercial success and advance the future of commerce together. Apphub does this by partnering with the developers in the ecosystem.,"Commerce and Shopping, Software",2.0,Private Equity,2023-07-25,95000000.0,Private Equity,155000000.0,Private,,,,,,2,882,False
263,OtterTune,2020-01-01,https://ottertune.com,"Pittsburgh, Pennsylvania, United States","Database, Information Technology, Machine Learning, Productivity Tools, SaaS",11-50,"6,925","OtterTune provides automated performance tuning solutions for data-intensive applications. It learns how the database behaves and continually tunes runtime knobs to improve the system’s performance. OtterTune discovers and reveals new approaches to optimization that most human DBAs can't detect. It makes the database backend run in the best possible scenario, now and in the future. The company was founded in 2020 and is headquartered in Pittsburgh, Pennsylvania.","Artificial Intelligence, Data and Analytics, Information Technology, Software",4.0,Early Stage Venture,2022-05-10,12000000.0,Series A,14500000.0,Private,,,0,1.0,,4,883,False
268,Muon Space,2021-01-01,https://www.muonspace.com/,"Mountain View, California, United States","Aerospace, Information Services, Information Technology",11-50,"6,935","Muon is building the world’s most capable multi-modal Earth remote sensing satellite platform. A focus is on dense, scientific-grade measurements of the atmosphere, ocean, and land processes related to climate. Our Mission-as-a-Service product brings these capabilities to a broad array of customers without the expertise or resources to develop them themselves.","Information Technology, Science and Engineering",2.0,Early Stage Venture,2022-08-09,25000000.0,Series A,35000000.0,Private,,,0,0.0,,3,884,False
271,Inlyte Energy,2021-01-01,https://inlyteenergy.com/,"Berkeley, California, United States","Energy, Power Grid",,"6,937","Inlyte Energy is a company that creates batteries for grid storage. Inlyte Energy's grid battery uses the most abundant commodities - iron and salt - to create an energy storage solution with the unique combination of high efficiency, long lifetime, competitive energy density, and exceptional safety.",Energy,1.0,Seed,2023-10-26,8000000.0,Seed,8000000.0,Private,,,,,,3,885,False
272,Black Crow AI,2020-01-01,https://www.blackcrow.ai/,"New York, New York, United States","Analytics, Artificial Intelligence, Machine Learning, Marketing, Predictive Analytics, Software",11-50,"6,938","Black Crow AI develops a business analytics platform that delivers machine learning predictions. Its platform provides real-time insights to the business users at companies of any size, for less than the cost of 1 data scientist. Black Crow’s ML predictions improve new customer acquisition scale and efficiency by 25-50%.","Artificial Intelligence, Data and Analytics, Sales and Marketing, Science and Engineering, Software",1.0,Early Stage Venture,2022-03-31,25000000.0,Series A,25000000.0,Private,,,4,0.0,Computing; Calculating,4,886,False
277,Web3 Pro,2019-01-01,https://web3pro.com,"Palo Alto, California, United States","Automotive, Digital Marketing, Enterprise Software, SaaS, Sports",11-50,"6,949","Web3 Pro creates enterprise white-label platforms for global brands in order to make NFT campaigns seamless, easy to execute, and on-brand. The company's platform helps global enterprises strategize, creating, selling, and distributing NFT-based digital authentic assets, allowing brands to engage communities, drive new revenue streams, and boost cross-sales of physical products while ensuring complete company control, sustainability, and global regulatory compliance.","Sales and Marketing, Software, Sports, Transportation",6.0,,2023-08-28,,Venture - Series Unknown,8600000.0,Private,,,0,0.0,Computing; Calculating,5,887,False
281,Class Companion,2023-01-01,https://classcompanion.com,"San Francisco, California, United States","Artificial Intelligence, Children",1-10,"6,955","Class Companion is a new AI technology that allows professors to provide students with immediate, individualized feedback.","Artificial Intelligence, Community and Lifestyle, Data and Analytics, Science and Engineering, Software",1.0,Seed,2023-10-05,4000000.0,Seed,4000000.0,Private,,,,,,1,888,False
